Image ID,Race,Gender,Age
c00002,White,Female,Adult
c00003,Latino,Female,Adult
c00004,White,Male,Adult
c00007,Black,Female,Adult
c00008,White,Male,Elderly
c00012,White,Female,Adult
c00014,White,Male,Adult
c00017,White,Female,Adult
c00019,White,Male,Adult
c00020,Latino,Female,Adult
c00021,Indian,Male,Adult
c00022,White,Male,Adult
c00023,Latino,Female,Adult
c00024,White,Female,Adult
c00025,Asian,Female,Adult
c00027,Latino,Female,Adult
c00028,White,Female,Adult
c00029,White,Female,Adult
c00031,Indian,Female,Adult
c00032,White,Female,Adult
c00033,White,Female,Adult
c00034,White,Female,Adult
c00035,White,Female,Adult
c00036,White,Female,Adult
c00037,Latino,Female,Adult
c00039,White,Female,Adult
c00040,White,Male,Adult
c00041,White,Male,Adult
c00042,White,Male,Elderly
c00045,White,Female,Adult
c00046,Black,Male,Adult
c00047,White,Male,Adult
c00048,Latino,Female,Adult
c00049,White,Female,Adult
c00051,White,Female,Adult
c00052,White,Female,Adult
c00053,White,Female,Elderly
c00054,Indian,Male,Adult
c00055,White,Male,Elderly
c00057,White,Female,Adult
c00058,White,Female,Adult
c00060,White,Female,Adult
c00065,White,Male,Adult
c00066,White,Male,Adult
c00068,Asian,Female,Adult
c00069,White,Female,Elderly
c00072,White,Female,Adult
c00076,White,Female,Adult
c00077,White,Male,Adult
c00078,White,Female,Adult
c00079,White,Male,Adult
c00080,White,Female,Adult
c00082,Latino,Female,Adult
c00083,White,Female,Adult
c00085,White,Female,Elderly
c00086,White,Female,Adult
c00087,White,Female,Adult
c00088,White,Male,Adult
c00089,White,Female,Elderly
c00090,White,Male,Elderly
c00091,Indian,Female,Adult
c00092,White,Female,Adult
c00093,White,Female,Adult
c00094,White,Male,Adult
c00095,White,Female,Adult
c00096,Latino,Female,Adult
c00098,White,Female,Adult
c00099,White,Male,Elderly
c00101,White,Female,Adult
c00104,Latino,Female,Adult
c00105,White,Female,Adult
c00106,Indian,Female,Adult
c00107,White,Male,Adult
c00109,Indian,Female,Adult
c00110,Black,Male,Adult
c00112,White,Male,Adult
c00113,White,Female,Adult
c00114,White,Male,Adult
c00118,White,Female,Adult
c00119,White,Female,Adult
c00121,White,Female,Adult
c00122,Asian,Female,Adult
c00123,Latino,Female,Adult
c00125,White,Male,Adult
c00127,Black,Male,Adult
c00128,White,Female,Adult
c00129,White,Female,Elderly
c00130,Latino,Male,Adult
c00131,White,Male,Elderly
c00132,Latino,Male,Adult
c00133,White,Male,Adult
c00134,White,Female,Adult
c00136,Latino,Female,Adult
c00137,White,Male,Adult
c00139,White,Male,Elderly
c00140,White,Female,Adult
c00141,White,Male,Adult
c00142,Latino,Female,Adult
c00143,White,Female,Adult
c00144,Latino,Female,Adult
c00149,Latino,Female,Adult
c00150,Indian,Female,Adult
c00153,White,Male,Elderly
c00154,White,Female,Adult
c00156,White,Female,Adult
c00157,White,Female,Adult
c00159,White,Male,Elderly
c00160,White,Female,Adult
c00161,White,Female,Adult
c00162,White,Male,Adult
c00163,White,Female,Adult
c00165,White,Female,Adult
c00166,Asian,Female,Adult
c00167,White,Male,Adult
c00168,White,Female,Adult
c00172,White,Male,Adult
c00175,White,Male,Elderly
c00176,White,Male,Elderly
c00177,Asian,Female,Elderly
c00178,White,Female,Adult
c00181,Latino,Female,Adult
c00182,White,Male,Adult
c00185,White,Female,Adult
